DATASET, #TRAINING_RELEASES, %TRAINING_INSTANCES, CLASSIFIER, FEATURE_SELECTION, BALANCING, COST_SENSITIVE, PRECISION, RECALL, AUC, KAPPA, TP, FP, TN, FN
bookkeeper,3,69.4499017681729,Random Forest,None,Undersampling,None,0.7367891293407146,0.9463477698771816,0.7130744605534521,0.1465175255864505,1464.0,523.0,107.0,83.0
bookkeeper,4,76.48384673178062,Random Forest,None,Undersampling,None,0.7971428571428572,0.9099804305283757,0.7792471404183942,0.40895667594865937,1395.0,355.0,303.0,138.0
bookkeeper,5,75.11286681715576,Random Forest,None,Undersampling,None,0.41614629794826047,0.7446129289704708,0.5334869160253124,0.027441620558336113,933.0,1309.0,525.0,320.0
bookkeeper,6,80.10849909584087,Random Forest,None,Undersampling,None,0.46951512241958715,0.7092095721537346,0.5368428501939098,0.05684493394327748,978.0,1105.0,596.0,401.0
bookkeeper,1,44.44444444444444,Naive Bayes,None,Undersampling,None,0.9129052765416402,0.9111675126903553,0.694683154932686,0.16541126845435397,1436.0,137.0,47.0,140.0
bookkeeper,2,56.011315417256014,Naive Bayes,None,Undersampling,None,0.8830811554332875,0.9050751879699248,0.6781635077276524,0.20955802610576885,1926.0,255.0,105.0,202.0
bookkeeper,3,69.4499017681729,Naive Bayes,None,Undersampling,None,0.736013986013986,0.9524886877828054,0.7059687657114128,0.14453862146169835,1684.0,604.0,116.0,84.0
bookkeeper,4,76.48384673178062,Naive Bayes,None,Undersampling,None,0.7890357317670093,0.9200913242009132,0.7598079398620422,0.39002597260760213,1612.0,431.0,321.0,140.0
bookkeeper,5,75.11286681715576,Naive Bayes,None,Undersampling,None,0.4141491395793499,0.7562849162011173,0.5318080595121327,0.02243337807595717,1083.0,1532.0,564.0,349.0
bookkeeper,6,80.10849909584087,Naive Bayes,None,Undersampling,None,0.47540983606557374,0.699238578680203,0.5438220360447871,0.07057900078493327,1102.0,1216.0,728.0,474.0
bookkeeper,1,44.44444444444444,IBk,None,Undersampling,None,0.9129425420777714,0.8871968415115623,0.680209857470212,0.14689002636885362,1573.0,150.0,57.0,200.0
bookkeeper,2,56.011315417256014,IBk,None,Undersampling,None,0.8808738664468261,0.8926482873851295,0.6596568581948699,0.18514501794729088,2137.0,289.0,116.0,257.0
bookkeeper,3,69.4499017681729,IBk,None,Undersampling,None,0.7363420427553444,0.9351432880844646,0.6887067140879777,0.14053456528767044,1860.0,666.0,144.0,129.0
bookkeeper,4,76.48384673178062,IBk,None,Undersampling,None,0.7933035714285714,0.9015728056823947,0.7529406896452462,0.38964986065065293,1777.0,463.0,383.0,194.0
bookkeeper,5,75.11286681715576,IBk,None,Undersampling,None,0.4125217391304348,0.7361887026691496,0.5274044959141694,0.01770353480648546,1186.0,1689.0,669.0,425.0
bookkeeper,6,80.10849909584087,IBk,None,Undersampling,None,0.46551724137931033,0.6852791878172588,0.5240925264425923,0.04539092181563689,1215.0,1395.0,792.0,558.0
bookkeeper,1,44.44444444444444,Random Forest,None,None,Sensitive learning,0.9109624292331446,0.8984771573604061,0.6905936879276098,0.13909230155899197,1770.0,173.0,57.0,200.0
bookkeeper,2,56.011315417256014,Random Forest,None,None,Sensitive learning,0.8779685787358421,0.9033834586466165,0.6615643274853801,0.17349347746905128,2403.0,334.0,116.0,257.0
bookkeeper,3,69.4499017681729,Random Forest,None,None,Sensitive learning,0.7335213253436729,0.9416289592760181,0.6999441930618401,0.1280732933539881,2081.0,756.0,144.0,129.0
bookkeeper,4,76.48384673178062,Random Forest,None,None,Sensitive learning,0.7836670592854339,0.9114155251141552,0.7618498008355192,0.36478295808986766,1996.0,551.0,389.0,194.0
bookkeeper,5,75.11286681715576,Random Forest,None,None,Sensitive learning,0.4133535660091047,0.7608938547486034,0.525569747110751,0.020391861695871996,1362.0,1933.0,687.0,428.0
bookkeeper,6,80.10849909584087,Random Forest,None,None,Sensitive learning,0.46455654467523905,0.7152284263959391,0.5285569551502998,0.04463598981634038,1409.0,1624.0,806.0,561.0
bookkeeper,1,44.44444444444444,Naive Bayes,None,None,Sensitive learning,0.9110800744878957,0.9030918320258422,0.6844465399971911,0.1433953470307223,1957.0,191.0,62.0,210.0
bookkeeper,2,56.011315417256014,Naive Bayes,None,None,Sensitive learning,0.8792190602250165,0.9080656185919344,0.667091627139474,0.1856486758850835,2657.0,365.0,130.0,269.0
bookkeeper,3,69.4499017681729,Naive Bayes,None,None,Sensitive learning,0.7311725452812202,0.946524064171123,0.6918186388774624,0.1170735112745212,2301.0,846.0,144.0,130.0
bookkeeper,4,76.48384673178062,Naive Bayes,None,None,Sensitive learning,0.7744755244755245,0.9194686591946866,0.7467152513984872,0.33771565910162743,2215.0,645.0,389.0,194.0
bookkeeper,5,75.11286681715576,Naive Bayes,None,None,Sensitive learning,0.412574203993524,0.776536312849162,0.5265631867153933,0.018564077532023666,1529.0,2177.0,705.0,440.0
bookkeeper,6,80.10849909584087,Naive Bayes,None,None,Sensitive learning,0.4626262626262626,0.7397323488694048,0.5312730097122242,0.04082237817534835,1603.0,1862.0,811.0,564.0
bookkeeper,1,44.44444444444444,IBk,None,None,Sensitive learning,0.9106529209621993,0.8967851099830795,0.6731191299443341,0.13536449638286005,2120.0,208.0,68.0,244.0
bookkeeper,2,56.011315417256014,IBk,None,None,Sensitive learning,0.8774038461538461,0.9147869674185464,0.6614348370927319,0.17783721581189926,2920.0,408.0,132.0,272.0
bookkeeper,3,69.4499017681729,IBk,None,None,Sensitive learning,0.7308476551121468,0.946078431372549,0.6884765515892967,0.1152169449858552,2509.0,924.0,156.0,143.0
bookkeeper,4,76.48384673178062,IBk,None,None,Sensitive learning,0.7689129052765417,0.9204718417047184,0.7258393312067533,0.3175903883870547,2419.0,727.0,401.0,209.0
bookkeeper,5,75.11286681715576,IBk,None,None,Sensitive learning,0.4118529632408102,0.7667597765363129,0.5216491552589307,0.016426083795541738,1647.0,2352.0,792.0,501.0
bookkeeper,6,80.10849909584087,IBk,None,None,Sensitive learning,0.45881427072402936,0.7398477157360406,0.5201006060268453,0.030597805698339454,1749.0,2063.0,853.0,615.0
