DATASET, #TRAINING_RELEASES, %TRAINING_INSTANCES, CLASSIFIER, FEATURE_SELECTION, BALANCING, COST_SENSITIVE, PRECISION, RECALL, AUC, KAPPA, TP, FP, TN, FN
syncope,21,94.12985897344119,Random Forest,Best First,None,None,0.9299548095545513,0.9772727272727273,0.8091793905608867,0.40480693539977725,2881.0,217.0,115.0,67.0
syncope,22,94.44895199459094,Random Forest,Best First,None,None,0.9095174262734584,0.9358620689655173,0.7142111170977011,0.25713741457723155,2714.0,270.0,114.0,186.0
syncope,23,94.70448869821348,Random Forest,Best First,None,None,0.9178488947542065,0.9579889807162535,0.7911177481384503,0.39511624835134906,2782.0,249.0,155.0,122.0
syncope,24,94.96503496503496,Random Forest,Best First,None,None,0.9359637774902976,0.9621010638297872,0.7578775677141657,0.35485675470491884,2894.0,198.0,106.0,114.0
syncope,1,50.0,Naive Bayes,Best First,None,None,0.9761904761904762,0.9991596638655462,0.6650105042016806,0.05960945529290692,2378.0,58.0,2.0,2.0
syncope,2,66.62116040955631,Naive Bayes,Best First,None,None,0.9633375474083439,0.9790149892933618,0.671808448510804,0.2251660258650819,2286.0,87.0,23.0,49.0
syncope,3,74.97441146366428,Naive Bayes,Best First,None,None,0.9303953871499177,0.9973509933774835,0.7127606082904097,0.10024287922278707,2259.0,169.0,11.0,6.0
syncope,4,79.98362668849775,Naive Bayes,Best First,None,None,0.9626449119793903,0.9898454746136865,0.9430463576158941,0.6056220306176312,2242.0,87.0,93.0,23.0
syncope,5,83.26516700749829,Naive Bayes,Best First,None,None,0.8224101479915433,0.9948849104859335,0.6720439897698209,0.22290110051897385,1945.0,420.0,80.0,10.0
syncope,6,85.4895104895105,Naive Bayes,Best First,None,None,0.8596802841918295,0.9852417302798983,0.813330425299891,0.47935417007581976,1936.0,316.0,209.0,29.0
syncope,7,87.32824427480917,Naive Bayes,Best First,None,None,0.8379096545615589,0.9752577319587629,0.819122305529522,0.3907374791664204,1892.0,366.0,184.0,48.0
syncope,8,83.26271186440678,Naive Bayes,Best First,None,None,0.9853107344632769,0.68125,0.6646969696969697,0.052423145958574516,2616.0,39.0,71.0,1224.0
syncope,9,87.99403430275913,Naive Bayes,Best First,None,None,0.9700813008130081,0.962258064516129,0.6392217741935484,0.17778863775198545,2983.0,92.0,28.0,117.0
syncope,10,89.25124792013311,Naive Bayes,Best First,None,None,0.9620294599018003,0.9620294599018003,0.7511133972410569,0.2991723170446572,2939.0,116.0,59.0,116.0
syncope,11,90.25379186063974,Naive Bayes,Best First,None,None,0.9443384223918575,0.9814876033057851,0.7390871525169046,0.24830400970713193,2969.0,175.0,45.0,56.0
syncope,12,91.06947483588621,Naive Bayes,Best First,None,None,0.9002533248891703,0.9871527777777778,0.6612089646464646,0.24587431676060836,2843.0,315.0,70.0,37.0
syncope,13,91.77858667001381,Naive Bayes,Best First,None,None,0.8868852459016393,0.9765342960288809,0.8053465346534654,0.37936214467298357,2705.0,345.0,160.0,65.0
syncope,14,92.26404169079328,Naive Bayes,Best First,None,None,0.8252992559042381,0.9849420849420849,0.728615444015444,0.34736565018426285,2551.0,540.0,210.0,39.0
syncope,15,92.81952058475761,Naive Bayes,Best First,None,None,0.8235294117647058,0.9739130434782609,0.7521573220123945,0.39952057530962837,2464.0,528.0,282.0,66.0
syncope,16,93.93174474959612,Naive Bayes,Best First,None,None,0.854080481383979,0.9442827442827443,0.7859722799722799,0.35382466952004715,2271.0,388.0,212.0,134.0
syncope,17,92.5693990092532,Naive Bayes,Best First,None,None,0.9814084507042253,0.8967824967824968,0.6095152295152295,0.05800190294957172,3484.0,66.0,24.0,401.0
